Objetivo del PGD,¿Declara articulación con el PEI?,Objetivo del PEI al que se articula,¿La articulación es verificable en el texto?,¿Tiene indicador?,¿Tiene línea base?,¿Tiene meta anual?,Proyectos asociados
OGD 1,Sí,OEI 02,Sí,Sí,Sí,Sí,P01
OGD 2,Sí,OEI 03,Sí,Sí,Sí,Sí,P02
OGD 3,Sí,OEI 02,Sí,Sí,Sí,Sí,P03
OGD 4,Sí,OEI 01,Sí,Sí,Sí,Sí,P04
OGD 5,Sí,OEI 03,Sí,Sí,Sí,Sí,P05
