pagina,numeral,titulo,nivel
12,2,OEI 02 1 AEI 02.01 tributaria - aduanera dependientes de la,1
13,3,"EJE 3, LIN 3.6 tributario - aduaneros 2.5",1
45,621,IGV Renta Mensual de los periodos tributarios de diciembre del año anterior a noviembre del,1
57,2.4,Servicios Electrónicos,2
59,4,Servicios Electrónicos,1
