pagina,codigo,texto
41,OGD1,servicios digitales disponibilidad de los 99.86 %
41,OGD2,capacitaciones en gestión 4
58,OGD 1,Implementar servicios digitales innovadores y accesibles que faciliten el
58,OGD 2,Mejorar la eficiencia de la SUNAT respecto de los servicios que brinda a los
58,OGD 3,Impulsar el desarrollo de servicios digitales interoperables con las entidades del
58,OGD 4,"Desarrollar la gestión de riesgos de cumplimiento, a partir del uso intensivo de"
58,OGD 5,Impulsar una Administración Tributaria Aduanera confiable sobre la base del uso
