Documento,Entidad,Periodo,Resolución que lo aprueba,URL,Fecha de descarga,N.º de páginas
PEI,SUNAT,2026-2030,Resolución de Superintendencia,anexo-000395-2025.pdf,2023-09-03,84
PGD,SUNAT,2025-2027,Resolución de Superintendencia,anexo-000301-2024.pdf,2023-09-03,70
